PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Activity Summary,Ratio Activity,Ratio Potency (uM),Ratio Efficacy (%),530 nm Activity,530 nm Potency (uM),530 nm Efficacy (%),460 nm Activity,460 nm Potency (uM),460 nm Efficacy (%),Viability Activity,Viability Potency (uM),Viability Efficacy (%),Blue (460 nm) auto fluorescence outcome,Sample Source
49,144206435,6442928,C1NCCN(C1)CC2=CC=CC=C2.C(=C/C(=O)O)\C(=O)O.C(=C/C(=O)O)\C(=O)O,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,inactive,RTI
50,144206437,15984075,CN1CC[C@]23[C@@H]4[C@H]1CC5=C2C(=C(C=C5)OC)O[C@H]3[C@H](C=C4)O.Cl,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,inactive,RTI
51,144206438,5492898,CN1CC[C@]23[C@@H]4[C@H]1CC5=C2C(=C(C=C5)OC)O[C@H]3[C@@H](CC4)O,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,inactive,RTI
52,144206439,5359421,CN1CC[C@]23[C@@H]4[C@H]1CC5=C2C(=C(C=C5)O)O[C@H]3[C@H](CC4)O,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,inactive,RTI
53,144206441,3057998,CCNC(C)CC1=CC2=C(C=C1)OCO2.Cl,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,inactive,RTI
54,144206442,71285,CC(CC1=CC2=C(C=C1)OCO2)NC.Cl,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,inactive,RTI
55,144206443,10257,CN(C)CCC1=CNC2=C1C=C(C=C2)O,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,inactive,RTI
56,144206444,60196334,CCN(CC)CCC1=CNC2=CC=CC=C21.CCN(CC)CCC1=CNC2=CC=CC=C21.C(=C/C(=O)O)\C(=O)O,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,inactive,RTI
57,144206445,60196335,CN(C)CCC1=CNC2=CC=CC=C21.C(=C/C(=O)O)\C(=O)O,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,inactive,RTI
58,144206446,24721009,CCCN(CCC)CCC1=CNC2=CC=CC=C21.Cl,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inconclusive antagonist,,,inactive,RTI
59,144206447,4980,CN(C)CCC1=CNC2=C1C(=CC=C2)O,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,inactive,RTI
60,144206448,14184,CCC(=O)C(CC(C)N(C)C)(C1=CC=CC=C1)C2=CC=CC=C2.Cl,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,inactive,RTI
61,144206449,102710,CC(CC1=CC=CC=C1)NCCN2C=NC3=C2C(=O)N(C(=O)N3C)C.Cl,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,inactive,RTI
62,144206450,197059,CC[C@H]1C[C@@H]2C[C@@H]3[C@H]1N(C2)CCC4=C3NC5=C4C=C(C=C5)OC.Cl,Inactive,0,,,inactive,inactive,,0,inconclusive agonist,0.225834,20.7414,inactive,,0,inactive,,0,inactive,RTI
63,144206451,10624,CN(C)CCC1=CNC2=C1C(=CC=C2)OP(=O)(O)O,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inconclusive agonist,,,inactive,RTI
64,144206452,5281091,CC(C)(C)C(C)([C@H]1C[C@@]23CC[C@@]1([C@H]4[C@@]25CCN([C@@H]3CC6=C5C(=C(C=C6)O)O4)CC7CC7)OC)O.Cl,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inconclusive antagonist,68.118,-96.2017,inactive,RTI
65,144206453,24194381,CCC(=O)N(C1CCN(CC1)C(C)CC2=CC=CC=C2)C3=CC=CC=C3.Cl,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,inactive,RTI
66,144206456,44072,C1=CC(=C(C=C1C(F)(F)F)Cl)OC2=CC(=C(C=C2)[N+](=O)[O-])C(=O)[O-].[Na+],Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,inactive,ACC
67,144206457,71992,C[C@H](CSC(=O)C)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CC2=CC=CC=C2)C(=O)O,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,inactive,ACC
68,144206461,11243969,C1[C@@H]2C[C@@H]2N([C@@H]1C#N)C(=O)[C@H](C34CC5CC(C3)CC(C5)(C4)O)N,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,inactive,ACC
69,144206463,54686904,CC(C)(C)NCC(=O)NC1=CC(=C2C[C@H]3C[C@H]4[C@@H](C(=O)C(=C([C@]4(C(=O)C3=C(C2=C1O)O)O)O)C(=O)N)N(C)C)N(C)C,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,inactive,ACC
70,144206464,6918126,CC/C=C(/C1=CSC(=N1)N)\C(=O)N[C@H]2[C@@H]3N(C2=O)C(=C(CS3)COC(=O)N)C(=O)OCOC(=O)C(C)(C)C.Cl,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,inactive,ACC
71,144206472,5485221,CC1=C(N2[C@@H]([C@@H](C2=O)NC(=O)/C(=N/OC)/C3=CSC(=N3)N)SC1)C(=O)OCOC(=O)C(C)(C)C.Cl,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,inactive,ACC
72,144206473,60196336,CN1C(=NN=N1)SCC2=C(N3[C@@H]([C@@](C3=O)(NC(=O)CSC[C@H](C(=O)[O-])N)OC)SC2)C(=O)O.[Na+],Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,inactive,ACC
73,144206474,6918222,CO/N=C(\C1=NSC(=N1)N)/C(=O)N[C@H]2[C@@H]3N(C2=O)C(=C(CS3)C[N+]4=C5C=CC=NN5C=C4)C(=O)[O-].Cl,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,inactive,ACC
74,144206480,5362115,CCOC(=O)[C@H](CCC1=CC=CC=C1)N[C@@H](C)C(=O)N(CC(=O)O)C2CC3=CC=CC=C3C2.Cl,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inconclusive antagonist,,-47.9088,inactive,ACC
75,144206484,3307,CCC1=CC2=C(S1)N3C(=NN=C3CN=C2C4=CC=CC=C4Cl)C,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,inactive,ACC
76,144206486,3395,CC(C1=CC(=C(C=C1)C2=CC=CC=C2)F)C(=O)OC(C)OC(=O)C,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,inactive,ACC
77,144206489,5282164,C[C@H](CCC=C(C)C)[C@H]1CC[C@@]2([C@@]1(CC[C@]34[C@H]2CC[C@@H]5[C@]3(C4)CC[C@@H](C5(C)C)OC(=O)/C=C/C6=CC(=C(C=C6)O)OC)C)C,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,inactive,ACC
78,144206491,636398,CCCC(=O)O[C@@]1(CC[C@@H]2[C@@]1(C[C@@H]([C@H]3[C@H]2CCC4=CC(=O)CC[C@]34C)O)C)C(=O)COC(=O)CC,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,inactive,ACC
79,144206494,47462,C1=CC=C(C(=C1)C(=O)[O-])NC2=C(C=CC(=C2)Cl)C(=O)[O-].[Na+].[Na+],Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,inactive,ACC
80,144206496,,,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,inactive,ACC
81,144206504,80278,C(C(COP(=O)([O-])[O-])O)O.[K+].[K+],Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,inactive,ACC
82,144206505,4887,C1=CC=C(C=C1)CCCCOC2=CC=C(C=C2)C(=O)NC3=CC=CC4=C3OC(=CC4=O)C5=NNN=N5,Inactive,0,,,inactive,inactive,,0,inconclusive agonist,,,inactive,,0,inconclusive antagonist,5.62212,-38.4834,inactive,ACC
83,144206509,443984,CC1([C@@H](N2[C@H](S1)[C@@H](C2=O)NC(=O)C(C3=CC=CC=C3)S(=O)(=O)[O-])C(=O)[O-])C.[Na+].[Na+],Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,inactive,ACC
84,144206513,5282199,CC(=CCC/C(=C/CC/C(=C/CC/C(=C/CCC(=O)C)/C)/C)/C)C,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,inactive,ACC
85,144206517,9938056,CC1=C(C(=C(C2=C1O[C@](CC2)(C)CCC[C@H](C)CCC[C@H](C)CCCC(C)C)C)OC(=O)CCC(=O)OCCO)C,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inconclusive antagonist,23.7083,-87.0869,inactive,ACC
86,144206602,64949,C1=CC(=CC=C1C(=N)N)OCCCOC2=CC=C(C=C2)C(=N)N,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,inactive,Beta Pharma
87,144206631,8293,COP(=S)(OC)OC1=CC=C(C=C1)S(=O)(=O)N,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,inactive,Chemos
88,144206640,13755,CCOC1=NN=C(C=C1)NS(=O)(=O)C2=CC=C(C=C2)N,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,inactive,FLUKA
89,144206753,3047798,CC1CC(=O)NN=C1C2=CC=C(C=C2)NCC(C)(C)NCC(COC3=C(C=CC(=C3)Cl)C#N)O,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,inactive,NCGCChem
90,144206758,92094,CC1=CC(=CC2=C1O[C@](CC2)(C)CCC[C@H](C)CCC[C@H](C)CCCC(C)C)O,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,inactive,NCGCChem
91,144206800,10251042,CCOC(=O)C1=C2CN(C(=O)C3=C(N2C=N1)C=CC=C3I)C,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,inactive,Pharmaron
92,144206802,5282215,C1CCNC2=C(C1)C=CC(=C2)C(=O)CCC3CCN(CC3)CC4=CC=CC=C4.C(=C/C(=O)O)\C(=O)O,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,inactive,Pharmaron
93,144206803,27891,CCCCNC1=CC=C(C=C1)C(=O)OCC[NH+](CC)CC.[Cl-],Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,inactive,Pharmaron
94,144206804,3003141,C1[C@H](S/C(=C(\C#N)/N2C=CN=C2)/S1)C3=C(C=C(C=C3)Cl)Cl,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,inactive,Pharmaron
95,144206805,4783,C1=CC=C(C=C1)OC(=O)CCCCCCCCC#CI,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,inactive,Pharmaron
96,144206807,216237,CC1=CC=CC=C1C(=O)NC2=CC(=C(C=C2)C(=O)N3CCCC(C4=C3C=CC(=C4)Cl)O)C,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,inactive,Pharmaron
97,144206808,210301,C[N+]1(CCCCC1)CC2COC(O2)(C3=CC=CC=C3)C4=CC=CC=C4.[I-],Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,inactive,Pharmaron
98,144206809,3740,C1=C(C(=C(C(=C1I)NC(=O)COCCOCCOCC(=O)NC2=C(C=C(C(=C2I)C(=O)O)I)I)I)C(=O)O)I,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,inactive,Pharmaron
99,144206810,6918126,CC/C=C(/C1=CSC(=N1)N)\C(=O)N[C@H]2[C@@H]3N(C2=O)C(=C(CS3)COC(=O)N)C(=O)OCOC(=O)C(C)(C)C.Cl,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,inactive,Pharmaron
100,144206811,9811353,C1=CC(=CC(=C1)C2=C(C=CC(=C2)CCCCCCC3=CC(=C(C=C3)O[C@@H]4[C@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O)C5=CC=CC(=C5)CC(=O)O)O[C@@H]6[C@H]([C@H]([C@@H]([C@H](O6)CO)O)O)O)CC(=O)O,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inconclusive agonist,,,inactive,Pharmaron
101,144206813,132916,C1CN2C(=O)[C@H](N=C(C3=CC=CC1=C32)C4=CC=CC=C4F)NC(=O)C5=CC6=CC=CC=C6N5,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,inactive,Pharmaron
102,144206814,10455790,C1CN2C(=O)[C@@H](N=C(C3=CC=CC1=C32)C4=CC=CC=C4F)NC(=O)C5=CC6=CC=CC=C6N5,Inconclusive,5,,,inconclusive,inconclusive agonist,,15.8719,inactive,,0,inactive,,0,inactive,,0,inactive,Pharmaron
103,144206815,23663963,CCC1=CC(=C2C1=CC=CC(=C2)C(C)C)S(=O)(=O)[O-].[Na+],Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,inactive,Pharmaron
104,144206816,185457,C1=CC=C(C=C1)C(=O)SCC(=O)NCC(=O)NCC(=O)NCC(=O)O,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,inactive,Pharmaron
105,144206817,1999,CCC(C1=CC=CC=C1)C(=O)NC(=O)NC(=O)C,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,inactive,Pharmaron
106,144206818,125564,CCN1CCN(CC1)C2=NC3=C(CCCCCC3)C(=C2)C4=CC=C(C=C4)F,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,inactive,Pharmaron
107,144206819,151173,C1C(O[C@H](O1)CO)N2C=CC(=NC2=O)N,Inactive,0,,,inactive,inactive,,0,inconclusive agonist,,,inactive,,0,inactive,,0,inactive,Pharmaron
108,144206820,10133071,CC(=O)NC1=NC(=O)N(C=C1)C2COC(O2)COC(=O)C3=CC=CC=C3,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inconclusive agonist,,,inconclusive,Pharmaron
